"STATION","NAME","DATE","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS","WT05"
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-07-22","0.00","0.0","0.0","86","60",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-07-23","0.61","0.0","0.0","83","56",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-07-24","0.00","0.0","0.0","79","54",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-07-25","0.00","0.0","0.0","83","65",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-07-26","0.00","0.0","0.0","90","58",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-07-27","0.03","0.0","0.0","93","67",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-07-28","0.05","0.0","0.0","82","56",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-07-29","0.00","0.0","0.0","75","53",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-07-30","0.00","0.0","0.0","81","56",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-07-31","0.00","0.0","0.0","83","56",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-08-01","0.09","0.0","0.0","85","61",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-08-02","0.00","0.0","0.0","88","65",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-08-03","0.00","0.0","0.0","88","61",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-08-04","0.00","0.0","0.0","90","63",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-08-05","0.00","0.0","0.0","94","67",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-08-06","0.00","0.0","0.0","83","55",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-08-07","0.00","0.0","0.0","82","54",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-08-08","0.00","0.0","0.0","89","59",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-08-09","0.03","0.0","0.0","86","64",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-08-10","0.00","0.0","0.0","88","65",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-08-11","0.00","0.0","0.0","91","67",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-08-12","0.00","0.0","0.0","85","65",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-08-13","0.07","0.0","0.0","87","66",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-08-14","0.04","0.0","0.0","83","69",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-08-15","0.00","0.0","0.0","81","62",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-08-16","0.00","0.0","0.0","81","57",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-08-17","0.00","0.0","0.0","82","51",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-08-18","0.00","0.0","0.0","80","49",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-08-19","0.00","0.0","0.0","82","54",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-08-20","0.00","0.0","0.0","77","68",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-08-21","0.03","0.0","0.0","90","70",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-08-22","0.19","0.0","0.0","83","55",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-08-23","0.00","0.0","0.0","72","53",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-08-24","0.00","0.0","0.0","74","47",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-08-25","0.00","0.0","0.0","76","45",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-08-26","0.00","0.0","0.0","79","47",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-08-27","0.00","0.0","0.0","83","52",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-08-28","0.02","0.0","0.0","80","64",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-08-29","0.00","0.0","0.0","82","64",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-08-30","0.65","0.0","0.0","81","65",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-08-31","1.68","0.0","0.0","78","67",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-09-01","0.58","0.0","0.0","77","62",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-09-02","0.00","0.0","0.0","77","54",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-09-03","0.00","0.0","0.0","82","55",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-09-04","0.00","0.0","0.0","75","53",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-09-05","0.00","0.0","0.0","72","44",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-09-06","0.00","0.0","0.0","78","49",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-09-07","0.00","0.0","0.0","81","50",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-09-08","0.00","0.0","0.0","81","50",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-09-09","0.00","0.0","0.0","77","50",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-09-10","0.00","0.0","0.0","76","45",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-09-11","0.00","0.0","0.0","71","39",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-09-12","0.00","0.0","0.0","78","44",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-09-13","0.00","0.0","0.0","85","49",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-09-14","0.00","0.0","0.0","85","56",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-09-15","0.00","0.0","0.0","85","63",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-09-16","0.00","0.0","0.0","77","60",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-09-17","0.03","0.0","0.0","79","60",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-09-18","0.01","0.0","0.0","67","49",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-09-19","0.00","0.0","0.0","77","49",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-09-20","0.11","0.0","0.0","78","49",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-09-21","0.00","0.0","0.0","79","49",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-09-22","0.00","0.0","0.0","81","48",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-09-23","0.00","0.0","0.0","82","57",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-09-24","0.11","0.0","0.0","69","38",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-09-25","0.01","0.0","0.0","70","41",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-09-26","0.18","0.0","0.0","71","60",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-09-27","0.78","0.0","0.0","69","52",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-09-28","0.00","0.0","0.0","65","40",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-09-29","0.00","0.0","0.0","71","40",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-09-30","0.30","0.0","0.0","66","36",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-10-01","0.01","0.0","0.0","64","40",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-10-02","0.00","0.0","0.0","74","45",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-10-03","0.00","0.0","0.0","78","49",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-10-04","0.00","0.0","0.0","78","54",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-10-05","0.00","0.0","0.0","77","57",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-10-06","0.00","0.0","0.0","77","58",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-10-07","0.00","0.0","0.0","75","61",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-10-08","1.77","0.0","0.0","69","46",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-10-09","0.28","0.0","0.0","46","44",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-10-10","0.10","0.0","0.0","50","44",,
"USC00304174","ITHACA CORNELL UNIVERSITY, NY US","2005-10-11","0.03","0.0","0.0","57","49",,
